Date,Open,High,Low,Close,Volume,Ticker
1988-07-01,99.79631042480469,99.79631042480469,99.79631042480469,99.79631042480469,0,BA.L
1988-07-04,99.79631042480469,99.79631042480469,99.79631042480469,99.79631042480469,0,BA.L
1988-07-05,101.24620819091797,101.24620819091797,101.24620819091797,101.24620819091797,0,BA.L
1988-07-06,99.55472564697266,99.55472564697266,99.55472564697266,99.55472564697266,0,BA.L
1988-07-07,97.86328887939453,97.86328887939453,97.86328887939453,97.86328887939453,0,BA.L
1988-07-08,107.77045440673828,107.77045440673828,107.77045440673828,107.77045440673828,0,BA.L
1988-07-11,112.84479522705078,112.84479522705078,112.84479522705078,112.84479522705078,0,BA.L
1988-07-12,112.36148834228516,112.36148834228516,112.36148834228516,112.36148834228516,0,BA.L
1988-07-13,113.56974029541016,113.56974029541016,113.56974029541016,113.56974029541016,0,BA.L
1988-07-14,113.56974029541016,113.56974029541016,113.56974029541016,113.56974029541016,0,BA.L
1988-07-15,118.40249633789062,118.40249633789062,118.40249633789062,118.40249633789062,0,BA.L
1988-07-18,120.093994140625,120.093994140625,120.093994140625,120.093994140625,0,BA.L
1988-07-19,118.16080474853516,118.16080474853516,118.16080474853516,118.16080474853516,0,BA.L
1988-07-20,118.40249633789062,118.40249633789062,118.40249633789062,118.40249633789062,0,BA.L
1988-07-21,116.22775268554688,116.22775268554688,116.22775268554688,116.22775268554688,0,BA.L
1988-07-22,114.7779541015625,114.7779541015625,114.7779541015625,114.7779541015625,0,BA.L
1988-07-25,114.05303192138672,114.05303192138672,114.05303192138672,114.05303192138672,0,BA.L
1988-07-26,112.36148834228516,112.36148834228516,112.36148834228516,112.36148834228516,0,BA.L
1988-07-27,113.56974029541016,113.56974029541016,113.56974029541016,113.56974029541016,0,BA.L
1988-07-28,114.5362777709961,114.5362777709961,114.5362777709961,114.5362777709961,0,BA.L
1988-07-29,113.56974029541016,113.56974029541016,113.56974029541016,113.56974029541016,0,BA.L
1988-08-01,114.29466247558594,114.29466247558594,114.29466247558594,114.29466247558594,0,BA.L
1988-08-02,114.5362777709961,114.5362777709961,114.5362777709961,114.5362777709961,0,BA.L
1988-08-03,116.71099853515625,116.71099853515625,116.71099853515625,116.71099853515625,0,BA.L
1988-08-04,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-08-05,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-08-08,122.2686996459961,122.2686996459961,122.2686996459961,122.2686996459961,0,BA.L
1988-08-09,120.21482849121094,120.21482849121094,120.21482849121094,120.21482849121094,0,BA.L
1988-08-10,118.64408111572266,118.64408111572266,118.64408111572266,118.64408111572266,0,BA.L
1988-08-11,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-08-12,120.57722473144531,120.57722473144531,120.57722473144531,120.57722473144531,0,BA.L
1988-08-15,119.36896514892578,119.36896514892578,119.36896514892578,119.36896514892578,0,BA.L
1988-08-16,121.42292022705078,121.42292022705078,121.42292022705078,121.42292022705078,0,BA.L
1988-08-17,121.78541564941406,121.78541564941406,121.78541564941406,121.78541564941406,0,BA.L
1988-08-18,121.78541564941406,121.78541564941406,121.78541564941406,121.78541564941406,0,BA.L
1988-08-19,124.92671966552734,124.92671966552734,124.92671966552734,124.92671966552734,0,BA.L
1988-08-22,124.44343566894531,124.44343566894531,124.44343566894531,124.44343566894531,0,BA.L
1988-08-23,123.23521423339844,123.23521423339844,123.23521423339844,123.23521423339844,0,BA.L
1988-08-24,124.44343566894531,124.44343566894531,124.44343566894531,124.44343566894531,0,BA.L
1988-08-25,120.57722473144531,120.57722473144531,120.57722473144531,120.57722473144531,0,BA.L
1988-08-26,119.1274642944336,119.1274642944336,119.1274642944336,119.1274642944336,0,BA.L
1988-08-29,119.1274642944336,119.1274642944336,119.1274642944336,119.1274642944336,0,BA.L
1988-08-30,117.67752838134766,117.67752838134766,117.67752838134766,117.67752838134766,0,BA.L
1988-08-31,117.43595123291016,117.43595123291016,117.43595123291016,117.43595123291016,0,BA.L
1988-09-01,115.986083984375,115.986083984375,115.986083984375,115.986083984375,0,BA.L
1988-09-02,116.22775268554688,116.22775268554688,116.22775268554688,116.22775268554688,0,BA.L
1988-09-05,118.40249633789062,118.40249633789062,118.40249633789062,118.40249633789062,0,BA.L
1988-09-06,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-09-07,118.16080474853516,118.16080474853516,118.16080474853516,118.16080474853516,0,BA.L
1988-09-08,116.71099853515625,116.71099853515625,116.71099853515625,116.71099853515625,0,BA.L
1988-09-09,115.7444839477539,115.7444839477539,115.7444839477539,115.7444839477539,0,BA.L
1988-09-12,116.22775268554688,116.22775268554688,116.22775268554688,116.22775268554688,0,BA.L
1988-09-13,111.63655090332031,111.63655090332031,111.63655090332031,111.63655090332031,0,BA.L
1988-09-14,108.97856903076172,108.97856903076172,108.97856903076172,108.97856903076172,0,BA.L
1988-09-15,110.18672943115234,110.18672943115234,110.18672943115234,110.18672943115234,0,BA.L
1988-09-16,109.9451904296875,109.9451904296875,109.9451904296875,109.9451904296875,0,BA.L
1988-09-19,107.52877044677734,107.52877044677734,107.52877044677734,107.52877044677734,0,BA.L
1988-09-20,108.49527740478516,108.49527740478516,108.49527740478516,108.49527740478516,0,BA.L
1988-09-21,109.9451904296875,109.9451904296875,109.9451904296875,109.9451904296875,0,BA.L
1988-09-22,111.63655090332031,111.63655090332031,111.63655090332031,111.63655090332031,0,BA.L
1988-09-23,112.84479522705078,112.84479522705078,112.84479522705078,112.84479522705078,0,BA.L
1988-09-26,114.5362777709961,114.5362777709961,114.5362777709961,114.5362777709961,0,BA.L
1988-09-27,116.46944427490234,116.46944427490234,116.46944427490234,116.46944427490234,0,BA.L
1988-09-28,115.7444839477539,115.7444839477539,115.7444839477539,115.7444839477539,0,BA.L
1988-09-29,114.5362777709961,114.5362777709961,114.5362777709961,114.5362777709961,0,BA.L
1988-09-30,113.81128692626953,113.81128692626953,113.81128692626953,113.81128692626953,0,BA.L
1988-10-03,112.84479522705078,112.84479522705078,112.84479522705078,112.84479522705078,0,BA.L
1988-10-04,112.84479522705078,112.84479522705078,112.84479522705078,112.84479522705078,0,BA.L
1988-10-05,115.986083984375,115.986083984375,115.986083984375,115.986083984375,0,BA.L
1988-10-06,117.67752838134766,117.67752838134766,117.67752838134766,117.67752838134766,0,BA.L
1988-10-07,117.67752838134766,117.67752838134766,117.67752838134766,117.67752838134766,0,BA.L
1988-10-10,116.95269012451172,116.95269012451172,116.95269012451172,116.95269012451172,0,BA.L
1988-10-11,115.7444839477539,115.7444839477539,115.7444839477539,115.7444839477539,0,BA.L
1988-10-12,114.7779541015625,114.7779541015625,114.7779541015625,114.7779541015625,0,BA.L
1988-10-13,118.16080474853516,118.16080474853516,118.16080474853516,118.16080474853516,0,BA.L
1988-10-14,118.64408111572266,118.64408111572266,118.64408111572266,118.64408111572266,0,BA.L
1988-10-17,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-10-18,117.19426727294922,117.19426727294922,117.19426727294922,117.19426727294922,0,BA.L
1988-10-19,117.19426727294922,117.19426727294922,117.19426727294922,117.19426727294922,0,BA.L
1988-10-20,119.36896514892578,119.36896514892578,119.36896514892578,119.36896514892578,0,BA.L
1988-10-21,119.85225677490234,119.85225677490234,119.85225677490234,119.85225677490234,0,BA.L
1988-10-24,117.43595123291016,117.43595123291016,117.43595123291016,117.43595123291016,0,BA.L
1988-10-25,117.91919708251953,117.91919708251953,117.91919708251953,117.91919708251953,0,BA.L
1988-10-26,117.91919708251953,117.91919708251953,117.91919708251953,117.91919708251953,0,BA.L
1988-10-27,117.43595123291016,117.43595123291016,117.43595123291016,117.43595123291016,0,BA.L
1988-10-28,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-10-31,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-11-01,119.36896514892578,119.36896514892578,119.36896514892578,119.36896514892578,0,BA.L
1988-11-02,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-11-03,119.36896514892578,119.36896514892578,119.36896514892578,119.36896514892578,0,BA.L
1988-11-04,118.8857650756836,118.8857650756836,118.8857650756836,118.8857650756836,0,BA.L
1988-11-07,118.40249633789062,118.40249633789062,118.40249633789062,118.40249633789062,0,BA.L
1988-11-08,120.3355484008789,120.3355484008789,120.3355484008789,120.3355484008789,0,BA.L
1988-11-09,120.3355484008789,120.3355484008789,120.3355484008789,120.3355484008789,0,BA.L
1988-11-10,116.95269012451172,116.95269012451172,116.95269012451172,116.95269012451172,0,BA.L
1988-11-11,114.05303192138672,114.05303192138672,114.05303192138672,114.05303192138672,0,BA.L
1988-11-14,113.32803344726562,113.32803344726562,113.32803344726562,113.32803344726562,0,BA.L
1988-11-15,114.29466247558594,114.29466247558594,114.29466247558594,114.29466247558594,0,BA.L
1988-11-16,114.7779541015625,114.7779541015625,114.7779541015625,114.7779541015625,0,BA.L
1988-11-17,115.01951599121094,115.01951599121094,115.01951599121094,115.01951599121094,0,BA.L
1988-11-18,114.29466247558594,114.29466247558594,114.29466247558594,114.29466247558594,0,BA.L
1988-11-21,113.81128692626953,113.81128692626953,113.81128692626953,113.81128692626953,0,BA.L
1988-11-22,113.81128692626953,113.81128692626953,113.81128692626953,113.81128692626953,0,BA.L
1988-11-23,115.38204956054688,115.38204956054688,115.38204956054688,115.38204956054688,0,BA.L
1988-11-24,112.11991882324219,112.11991882324219,112.11991882324219,112.11991882324219,0,BA.L
1988-11-25,107.0455093383789,107.0455093383789,107.0455093383789,107.0455093383789,0,BA.L
1988-11-28,103.42095184326172,103.42095184326172,103.42095184326172,103.42095184326172,0,BA.L
